,rating,opinion,date,source
0,5.0,"Salaire est bon. Lieu comfortable., Rien d'inconvenients. Rien d'inconvenients. Rien d'inconvenients.",17/02/2022,glassdoor
1,3.0,"Bonne ambiance, bonne équipes sur des projets intéressants, salaires, missions peu détaillés, pas d'évolution professionnelle",10/10/2021,glassdoor
2,3.0,"Deux jours de formations linkedin sont demandés sinon on vous laisses tranquille, Le salaire ne suit pas",25/06/2021,glassdoor
3,4.0,"Une structure très flexible, beaucoup plus flexible qu'une société plus traditionnelle., L'avantage est aussi l'inconvenient. A partir du moment où qqch se passe contre vous, c'est cette flexibilité qui sera utilisé contre vous.",27/12/2018,glassdoor
4,3.0,"La diversité,Résoudre des problèmes,Formation permanente., les internes voient l’intervention d’un consultant externe d’un mauvais oeil",06/02/2016,glassdoor
